id,identificacao,ementa,indexacao,tipoDocumento,dataApresentacaoDocumento,urlDocumento
8961445,PL 5977/2025,"Revoga os arts. 359-L, 359-M, 359-N e 359-P do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal)."," ALTERAÇÃO ,  CODIGO PENAL ,  REVOGAÇÃO ,  CRIME ,  INSTITUIÇÃO DEMOCRATICA ,  FUNCIONAMENTO ,  PROCESSO ELEITORAL .",Projeto de Lei Ordinária,2025-11-26,https://legis.senado.gov.br/sdleg-getter/documento?dm=10114112
8963395,PL 6021/2025,"Dispõe sobre o exercício da autodefesa da posse, com auxílio policial, e altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para estabelecer a possibilidade de o possuidor turbado, ou esbulhado, manter-se ou reintegrar-se por sua própria força, ou com o auxílio de terceiros ou da autoridade policial, e a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para prever a possibilidade de o juiz requisitar força policial para auxiliar o cumprimento dos mandados de manutenção ou de reintegração de posse."," CRIAÇÃO ,  LEI FEDERAL ,  EXERCICIO ,  LEGITIMA DEFESA ,  POSSE ,  POSSIBILIDADE ,  REQUISIÇÃO ,  AUXILIO ,  AUTORIDADE POLICIAL ,  COMPROVAÇÃO ,  REQUISITOS ,  COMPETENCIA . ALTERAÇÃO ,  CODIGO CIVIL ,  POSSIBILIDADE ,  POSSUIDOR ,  DEFESA ,  POSSE ,  ESBULHO ,  REINTEGRAÇÃO ,  FORÇA ,  AUXILIO ,  TERCEIROS ,  AUTORIDADE POLICIAL . ALTERAÇÃO ,  CODIGO DE PROCESSO CIVIL ,  POSSIBILIDADE ,  JUIZ ,  MAGISTRADO ,  REQUISIÇÃO ,  AUXILIO ,  FORÇA ,  POLICIAL ,  CUMPRIMENTO ,  MANDADO JUDICIAL ,  MANUTENÇÃO ,  REINTEGRAÇÃO ,  POSSE .",Projeto de Lei Ordinária,2025-11-27,https://legis.senado.gov.br/sdleg-getter/documento?dm=10116731
8963105,PDL 1021/2025,"Susta dispositivos da Resolução nº 996, de 2023, do Conselho Nacional de Trânsito (CONTRAN), que estabelecem exigências técnicas, documentais e procedimentais aplicáveis aos ciclomotores, por exorbitar do poder regulamentar previsto no Código de Trânsito Brasileiro."," SUSTAÇÃO ,  DISPOSITIVOS ,  RESOLUÇÃO ,  CONSELHO NACIONAL DE TRANSITO (CONTRAN) ,  OBJETO ,  EXIGENCIA ,  TECNICO ,  DOCUMENTAÇÃO ,  PROCEDIMENTO ,  VEICULO CICLOMOTOR ,  FUNDAMENTAÇÃO ,  PROIBIÇÃO ,  COMPETENCIA ,  REGULAMENTAÇÃO ,  EXCEDENTE ,  CODIGO DE TRANSITO BRASILEIRO (CTB) .",Projeto de Decreto Legislativo,2025-11-27,https://legis.senado.gov.br/sdleg-getter/documento?dm=10116282
8963232,PL 6017/2025,"Altera a Lei nº 8.078, de 11 de setembro de 1990, (Código de Defesa do Consumidor), para vedar a restrição do uso de sanitário dianteiro a qualquer passageiro, pelas empresas aéreas."," ALTERAÇÃO ,  CODIGO DE DEFESA DO CONSUMIDOR ,  PROIBIÇÃO ,  FORNECEDOR ,  RESTRIÇÃO ,  ACESSO ,  FORMA ,  CONTROLE ,  EMPRESA DE TRANSPORTE AEREO ,  UTILIZAÇÃO ,  SANITARIO ,  AERONAVE ,  PASSAGEIRO ,  AMBITO ,  TRANSPORTE AEREO ,  CIVIL .",Projeto de Lei Ordinária,2025-11-27,https://legis.senado.gov.br/sdleg-getter/documento?dm=10116444
8962970,PL 6009/2025,"Altera a Lei nº 7.713, de 22 de dezembro de 1988, que altera a legislação do imposto de renda e dá outras providências, para inserir a artrite reumatoide no rol de doenças que dão direito à isenção do imposto de renda das pessoas físicas sobre proventos de aposentadoria ou reforma."," ALTERAÇÃO ,  LEI FEDERAL ,  ISENÇÃO FISCAL ,  IMPOSTO DE RENDA ,  ACRESCIMO ,  DOENÇA CRONICA ,  DOENÇA GRAVE ,  RELAÇÃO ,  PESSOA FISICA ,  PROVENTOS ,  APOSENTADORIA ,  REFORMA .",Projeto de Lei Ordinária,2025-11-27,https://legis.senado.gov.br/sdleg-getter/documento?dm=10116154
8963629,PL 6030/2025,"Altera a Lei nº 13.103, de 16 de março de 2015 – Código de Processo Civil, para vedar inovações legislativas infralegais de modo a impor limitações à interposição de recursos pelas partes e ao amplo direito de defesa para estabelecer que o processo eletrônico é uma faculdade das partes."," ALTERAÇÃO ,  CODIGO DE PROCESSO CIVIL ,  PROIBIÇÃO ,  INOVAÇÃO ,  LEGISLATIVO ,  LIMITAÇÃO ,  INTERPOSIÇÃO ,  RECURSOS ,  DIREITO DE DEFESA ,  FIXAÇÃO ,  JULGAMENTO ,  PROCESSO ELETRONICO ,  FACULDADE ,  PARTES PROCESSUAIS .",Projeto de Lei Ordinária,2025-11-28,https://legis.senado.gov.br/sdleg-getter/documento?dm=10117037
8964074,PL 2829/2025,"Altera a Lei nº 10.356, de 27 de dezembro de 2001, que dispõe sobre o quadro de pessoal e o plano de carreira do Tribunal de Contas da União; e revoga a Lei nº 11.854, de 3 de dezembro de 2008."," ALTERAÇÃO ,  LEI FEDERAL ,  QUADRO DE PESSOAL ,  PLANO DE CARREIRA ,  TRIBUNAL DE CONTAS DA UNIÃO (TCU) ,  SERVIDOR PUBLICO CIVIL ,  AUDITOR ,  TECNICO ,  CONTROLE EXTERNO ,  CARGO EFETIVO ,  FUNÇÃO EM COMISSÃO ,  CARGO DE CONFIANÇA ,  COMPETENCIA ,  REMUNERAÇÃO ,  GRATIFICAÇÃO ,  LICENÇA .",Projeto de Lei Ordinária,2025-11-28,https://legis.senado.gov.br/sdleg-getter/documento?dm=10117603
8963957,PL 6037/2025,"Proíbe, em todo o território nacional, a reconstituição do leite em pó e outros derivados do leite, quando de procedência estrangeira, e dá outras providências."," CRIAÇÃO ,  LEI FEDERAL ,  PROIBIÇÃO ,  COMERCIALIZAÇÃO ,  TERRITORIO NACIONAL ,  PRODUTO ,  RECONSTITUIÇÃO ,  LEITE ,  LATICINIO ,  DERIVADOS ,  PROCEDENCIA ,  PAIS ESTRANGEIRO ,  DIRETRIZ ,  CONSUMO ,  DESTINAÇÃO ,  ALIMENTAÇÃO ,  EXCEÇÃO ,  CONSUMO INDUSTRIAL ,  PESSOA JURIDICA .",Projeto de Lei Ordinária,2025-11-28,https://legis.senado.gov.br/sdleg-getter/documento?dm=10117445
8963630,PL 6031/2025,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, para vedar inovações infralegais por meio de jurisprudências, regulamentos, regimentos internos ou resoluções oriundas de Tribunais, Conselhos e demais órgãos colegiados."," ALTERAÇÃO ,  DECRETO LEI FEDERAL ,  CODIGO DE PROCESSO PENAL ,  PROIBIÇÃO ,  ELABORAÇÃO ,  NORMAS ,  FONTE ,  JURISPRUDENCIA ,  REGULAMENTO ,  REGIMENTO INTERNO ,  AMBITO ,  TRIBUNAIS ,  CONSELHO ,  ORGÃO COLEGIADO ,  OBJETIVO ,  INOVAÇÃO ,  REQUISITOS ,  RESTRIÇÃO ,  INTERPOSIÇÃO ,  RECURSOS .",Projeto de Lei Ordinária,2025-11-28,https://legis.senado.gov.br/sdleg-getter/documento?dm=10117040
8964708,PL 4333/2025,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para alterar o prazo de duração do inquérito policial no caso de prisão temporária e estabelecer hipótese de prisão em flagrante, a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para tornar mais rigorosa a regressão de regime de cumprimento da pena quando houver violação de dispositivo de monitoração eletrônica, e a Lei nº 7.960, de 21 de dezembro de 1989, para ampliar o prazo da prisão temporária."," ALTERAÇÃO ,  DECRETO LEI FEDERAL ,  CODIGO DE PROCESSO PENAL ,  AMPLIAÇÃO ,  PRAZO ,  DURAÇÃO ,  INQUERITO POLICIAL ,  PRISÃO TEMPORARIA ,  ESTABELECIMENTO ,  HIPOTESE ,  PRISÃO EM FLAGRANTE ,  DETERMINAÇÃO ,  DOCUMENTAÇÃO ,  ELEMENTO ,  PROVA ,  AUDIENCIA DE CUSTODIA ,  OBJETIVO ,  APROVEITAMENTO ,  INSTRUÇÃO PROCESSUAL ,  VIOLAÇÃO ,  DISPOSITIVOS ,  MONITORAMENTO ,  APARELHO ELETRONICO ,  FIXAÇÃO ,  PRAZO DETERMINADO ,  JUIZ ,  DECISÃO JUDICIAL ,  REGRESSÃO ,  CUMPRIMENTO ,  PENA . ALTERAÇÃO ,  LEI FEDERAL ,  PRISÃO TEMPORARIA ,  AMPLIAÇÃO ,  PRAZO . ALTERAÇÃO ,  LEI FEDERAL ,  LEI DE EXECUÇÃO PENAL ,  FIXAÇÃO ,  PRAZO ,  JUIZ ,  DECISÃO JUDICIAL ,  REGRESSÃO ,  CUMPRIMENTO ,  PENA .",Projeto de Lei Ordinária,2025-12-01,https://legis.senado.gov.br/sdleg-getter/documento?dm=10118124
